0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:22:56 -0500] "GET /vtac/img/team/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:22:57 -0500] "GET /vtac/img/team/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:22:57 -0500] "GET /vtac/img/logos/envato.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:22:57 -0500] "GET /vtac/img/logos/designmodo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:22:57 -0500] "GET /vtac/img/logos/creative-market.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:22:57 -0500] "GET /vtac/img/about/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:22:57 -0500] "GET /vtac/img/team/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:22:57 -0500] "GET /vtac/img/about/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:22:57 -0500] "GET /vtac/img/portfolio/roundicons-free.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:22:57 -0500] "GET /vtac/img/portfolio/startup-framework-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:22:57 -0500] "GET /vtac/img/portfolio/treehouse-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:22:57 -0500] "GET /vtac/img/portfolio/dreams-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:22:57 -0500] "GET /vtac/img/logos/themeforest.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:22:57 -0500] "GET /vtac/img/portfolio/golden-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:22:57 -0500] "GET /vtac/img/portfolio/escape-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:22:57 -0500] "GET /vtac/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:22:57 -0500] "GET /vtac/img/header-bg-2.jpg HTTP/1.1" 200 348575
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:22:57 -0500] "GET /vtac/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:22:57 -0500] "GET /vtac/img/map-image.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:29:17 -0500] "GET /vtac/ HTTP/1.1" 200 35740
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:29:17 -0500] "GET /vtac/img/Logo_VTAC1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:29:17 -0500] "GET /vtac/css/agency.min.css HTTP/1.1" 200 15135
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:29:18 -0500] "GET /vtac/img/header-bg-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:29:18 -0500] "GET /vtac/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [17/Jan/2017:13:29:25 -0500] "GET /vtac/ HTTP/1.1" 200 35740
